Pengujian Ke,K,Alpha,Beta,Accuracy
Pengujian Ke- 1,3,0.3,0.1,0.45111111111111113
Pengujian Ke- 2,3,0.3,0.2,0.45555555555555555
Pengujian Ke- 3,3,0.4,0.1,0.4288888888888889
Pengujian Ke- 4,3,0.4,0.2,0.35555555555555557
Pengujian Ke- 5,4,0.3,0.1,0.37555555555555553
Pengujian Ke- 6,4,0.3,0.2,0.43333333333333335
Pengujian Ke- 7,4,0.4,0.1,0.45111111111111113
Pengujian Ke- 8,4,0.4,0.2,0.5555555555555556
Pengujian Ke- 9,5,0.3,0.1,0.39111111111111113
Pengujian Ke- 10,5,0.3,0.2,0.4311111111111111
Pengujian Ke- 11,5,0.4,0.1,0.5933333333333334
Pengujian Ke- 12,5,0.4,0.2,0.4822222222222222
Pengujian Ke- 13,10,0.3,0.1,0.3933333333333333
Pengujian Ke- 14,10,0.3,0.2,0.34444444444444444
Pengujian Ke- 15,10,0.4,0.1,0.4288888888888889
Pengujian Ke- 16,10,0.4,0.2,0.4888888888888889
Pengujian Ke- 17,11,0.3,0.1,0.5444444444444444
Pengujian Ke- 18,11,0.3,0.2,0.38666666666666666
Pengujian Ke- 19,11,0.4,0.1,0.37777777777777777
Pengujian Ke- 20,11,0.4,0.2,0.3466666666666667
Pengujian Ke- 21,12,0.3,0.1,0.4066666666666667
Pengujian Ke- 22,12,0.3,0.2,0.5111111111111111
Pengujian Ke- 23,12,0.4,0.1,0.4666666666666667
Pengujian Ke- 24,12,0.4,0.2,0.47333333333333333
Pengujian Ke- 25,13,0.3,0.1,0.42
Pengujian Ke- 26,13,0.3,0.2,0.3511111111111111
Pengujian Ke- 27,13,0.4,0.1,0.5777777777777777
Pengujian Ke- 28,13,0.4,0.2,0.4955555555555556
Pengujian Ke- 29,14,0.3,0.1,0.37333333333333335
Pengujian Ke- 30,14,0.3,0.2,0.3622222222222222
Pengujian Ke- 31,14,0.4,0.1,0.43555555555555553
Pengujian Ke- 32,14,0.4,0.2,0.4266666666666667
Pengujian Ke- 33,15,0.3,0.1,0.4311111111111111
Pengujian Ke- 34,15,0.3,0.2,0.3422222222222222
Pengujian Ke- 35,15,0.4,0.1,0.3466666666666667
Pengujian Ke- 36,15,0.4,0.2,0.4955555555555556
Pengujian Ke- 37,23,0.3,0.1,0.3888888888888889
Pengujian Ke- 38,23,0.3,0.2,0.39111111111111113
Pengujian Ke- 39,23,0.4,0.1,0.4866666666666667
Pengujian Ke- 40,23,0.4,0.2,0.4177777777777778
Pengujian Ke- 41,28,0.3,0.1,0.38666666666666666
Pengujian Ke- 42,28,0.3,0.2,0.4
Pengujian Ke- 43,28,0.4,0.1,0.36666666666666664
Pengujian Ke- 44,28,0.4,0.2,0.48444444444444446
Pengujian Ke- 45,29,0.3,0.1,0.3888888888888889
Pengujian Ke- 46,29,0.3,0.2,0.4688888888888889
Pengujian Ke- 47,29,0.4,0.1,0.49777777777777776
Pengujian Ke- 48,29,0.4,0.2,0.4688888888888889
Pengujian Ke- 49,30,0.3,0.1,0.4088888888888889
Pengujian Ke- 50,30,0.3,0.2,0.41333333333333333
Pengujian Ke- 51,30,0.4,0.1,0.39555555555555555
Pengujian Ke- 52,30,0.4,0.2,0.4111111111111111
Pengujian Ke- 53,40,0.3,0.1,0.40444444444444444
Pengujian Ke- 54,40,0.3,0.2,0.43333333333333335
Pengujian Ke- 55,40,0.4,0.1,0.5088888888888888
Pengujian Ke- 56,40,0.4,0.2,0.4222222222222222
Pengujian Ke- 57,50,0.3,0.1,0.46444444444444444
Pengujian Ke- 58,50,0.3,0.2,0.52
Pengujian Ke- 59,50,0.4,0.1,0.5422222222222223
Pengujian Ke- 60,50,0.4,0.2,0.39555555555555555
Pengujian Ke- 61,51,0.3,0.1,0.48
Pengujian Ke- 62,51,0.3,0.2,0.4111111111111111
Pengujian Ke- 63,51,0.4,0.1,0.62
Pengujian Ke- 64,51,0.4,0.2,0.4022222222222222
Pengujian Ke- 65,52,0.3,0.1,0.4911111111111111
Pengujian Ke- 66,52,0.3,0.2,0.49777777777777776
Pengujian Ke- 67,52,0.4,0.1,0.5844444444444444
Pengujian Ke- 68,52,0.4,0.2,0.4
Pengujian Ke- 69,53,0.3,0.1,0.4911111111111111
Pengujian Ke- 70,53,0.3,0.2,0.5022222222222222
Pengujian Ke- 71,53,0.4,0.1,0.5777777777777777
Pengujian Ke- 72,53,0.4,0.2,0.4266666666666667
Pengujian Ke- 73,54,0.3,0.1,0.5333333333333333
Pengujian Ke- 74,54,0.3,0.2,0.4577777777777778
Pengujian Ke- 75,54,0.4,0.1,0.48
Pengujian Ke- 76,54,0.4,0.2,0.4266666666666667
